id,user_id,type,icon,title,message,reference_type,reference_id,reference_code,is_read,created_at
43,13,submission,fas fa-clipboard-check,IAR-2026-8684 Created,Inspection & Acceptance Report filed – pending inspection,iar,8,IAR-2026-8684,false,Tue Mar 31 2026 15:15:43 GMT+0800 (Philippine Standard Time)
44,3,submission,fas fa-clipboard-check,IAR-2026-8684 Created,Inspection & Acceptance Report filed – pending inspection,iar,8,IAR-2026-8684,true,Tue Mar 31 2026 15:15:43 GMT+0800 (Philippine Standard Time)
47,3,approval,fas fa-file-signature,PR-WRSD-2026-001 Pending Approval,Testing requires your approval,purchase_request,43,PR-WRSD-2026-001,true,Wed Apr 08 2026 09:33:48 GMT+0800 (Philippine Standard Time)
48,10,approval,fas fa-file-signature,PR-WRSD-2026-001 Pending Approval,Testing requires your approval,purchase_request,43,PR-WRSD-2026-001,false,Wed Apr 08 2026 09:33:48 GMT+0800 (Philippine Standard Time)
49,1,approval,fas fa-file-signature,PR-WRSD-2026-001 Pending Approval,Testing requires your approval,purchase_request,44,PR-WRSD-2026-001,false,Wed Apr 08 2026 16:23:22 GMT+0800 (Philippine Standard Time)
50,3,approval,fas fa-file-signature,PR-WRSD-2026-001 Pending Approval,Testing requires your approval,purchase_request,44,PR-WRSD-2026-001,false,Wed Apr 08 2026 16:23:22 GMT+0800 (Philippine Standard Time)
51,10,approval,fas fa-file-signature,PR-WRSD-2026-001 Pending Approval,Testing requires your approval,purchase_request,44,PR-WRSD-2026-001,false,Wed Apr 08 2026 16:23:22 GMT+0800 (Philippine Standard Time)
52,1,approval,fas fa-file-signature,PR-WRSD-2026-001 Pending Approval,Testing requires your approval,purchase_request,45,PR-WRSD-2026-001,false,Wed Apr 08 2026 16:33:15 GMT+0800 (Philippine Standard Time)
53,3,approval,fas fa-file-signature,PR-WRSD-2026-001 Pending Approval,Testing requires your approval,purchase_request,45,PR-WRSD-2026-001,false,Wed Apr 08 2026 16:33:15 GMT+0800 (Philippine Standard Time)
54,10,approval,fas fa-file-signature,PR-WRSD-2026-001 Pending Approval,Testing requires your approval,purchase_request,45,PR-WRSD-2026-001,false,Wed Apr 08 2026 16:33:15 GMT+0800 (Philippine Standard Time)
55,1,delivery,fas fa-receipt,PO-2026-1531 Created,New Purchase Order issued – Testing,purchase_order,22,PO-2026-1531,false,Wed Apr 08 2026 17:12:12 GMT+0800 (Philippine Standard Time)
56,3,delivery,fas fa-receipt,PO-2026-1531 Created,New Purchase Order issued – Testing,purchase_order,22,PO-2026-1531,false,Wed Apr 08 2026 17:12:12 GMT+0800 (Philippine Standard Time)
57,13,delivery,fas fa-receipt,PO-2026-1531 Created,New Purchase Order issued – Testing,purchase_order,22,PO-2026-1531,false,Wed Apr 08 2026 17:12:12 GMT+0800 (Philippine Standard Time)
58,1,delivery,fas fa-receipt,PO-2026-7762 Created,New Purchase Order issued – Testing,purchase_order,23,PO-2026-7762,false,Fri Apr 10 2026 16:00:25 GMT+0800 (Philippine Standard Time)
59,3,delivery,fas fa-receipt,PO-2026-7762 Created,New Purchase Order issued – Testing,purchase_order,23,PO-2026-7762,false,Fri Apr 10 2026 16:00:25 GMT+0800 (Philippine Standard Time)
60,13,delivery,fas fa-receipt,PO-2026-7762 Created,New Purchase Order issued – Testing,purchase_order,23,PO-2026-7762,false,Fri Apr 10 2026 16:00:25 GMT+0800 (Philippine Standard Time)
